"","Col1","Col2","Col3"
"1",1,0.377457295120611,23
"2",2,1.04247037823694,29
"3",3,0.465015254021138,22
"4",4,0.107474626378736,28
"5",5,0.108808878795474,17
"6",6,1.74407749956529,31
"7",7,1.05304673164495,26
"8",8,0.282457944268033,23
"9",9,1.30209641206404,21
"10",10,0.192786781056497,31
"11",11,0.0602842574394007,26
"12",12,0.316918308593413,24
"13",13,1.26764557617465,20
"14",14,0.611143876416852,29
"15",15,1.76618996283117,27
"16",16,1.96002889163767,29
"17",17,0.021375498520024,22
"18",18,0.932402213932955,23
"19",19,0.118509165665755,23
"20",20,0.462868582765029,18
"21",21,0.769390620841311,27
"22",22,0.0262739521325611,19
"23",23,0.582264636431092,28
"24",24,1.43360998206598,34
"25",25,1.0228928939875,19
"26",26,0.249598878699467,26
"27",27,0.0113456622287986,24
"28",28,0.461251245479965,27
"29",29,0.177895277945413,19
"30",30,0.612330505178054,26
"31",31,0.853907384262148,22
"32",32,0.497582545993907,23
"33",33,0.941778826895464,27
"34",34,0.139496493864691,24
"35",35,2.24646091573172,33
"36",36,0.0392570341216058,34
"37",37,1.5242149177047,21
"38",38,0.058004617051511,33
"39",39,1.21079830961061,22
"40",40,1.04300172036821,19
"41",41,1.2890915787631,31
"42",42,1.2156176073826,24
"43",43,0.00881750049110641,25
"44",44,0.300649578669193,29
"45",45,0.487540462288764,24
"46",46,0.546410245156751,29
"47",47,1.74938398494924,29
"48",48,0.795185043430119,26
"49",49,0.671613973679126,36
"50",50,0.761384936719793,21
"51",51,1.75392863079831,28
"52",52,0.419487176966806,24
"53",53,0.153863647066461,32
"54",54,0.423461744988499,29
"55",55,0.541841993469276,27
"56",56,0.174835862103507,25
"57",57,0.17162212607773,23
"58",58,0.990850550740765,21
"59",59,0.219084903717768,27
"60",60,0.0891540595110939,28
"61",61,1.06901421701897,24
"62",62,0.188935888810115,28
"63",63,0.353872203630334,34
"64",64,0.54432874994534,19
"65",65,0.174008262896156,28
"66",66,1.85124744770423,24
"67",67,0.729808702658295,21
"68",68,1.56728476520744,25
"69",69,1.40652259771341,20
"70",70,0.294924741381684,23
"71",71,1.77320888833548,30
"72",72,1.25253482715782,34
"73",73,0.0508976779057297,24
"74",74,0.774441926802373,29
"75",75,0.540391753686611,25
"76",76,0.320981224131611,30
"77",77,0.215551155435108,32
"78",78,0.851115957896924,31
"79",79,0.598718100496601,20
"80",80,2.27842755746065,25
"81",81,1.55100845790048,33
"82",82,0.381035796544725,27
"83",83,1.11444546025135,34
"84",84,0.672357844651637,24
"85",85,0.399038643152505,29
"86",86,0.154890593877093,18
"87",87,1.02324184499854,21
"88",88,0.405391942435653,26
"89",89,0.789575953381222,26
"90",90,0.206692990231107,23
"91",91,0.271294481742701,26
"92",92,0.677092155188986,27
"93",93,0.835890365415611,25
"94",94,0.899790631010462,26
"95",95,0.323887092318009,17
"96",96,0.363033385642466,22
"97",97,1.91119605575527,22
"98",98,1.00534168721159,29
"99",99,1.04589168388529,31
"100",100,0.489026183944607,22
