"","Col1","Col2","Col3"
"1",1,1.113718700919,70
"2",2,0.951544735692233,78
"3",3,0.573213889594595,64
"4",4,0.644915779323918,74
"5",5,0.731208198772439,70
"6",6,0.197140842160795,77
"7",7,0.500011656674659,79
"8",8,1.16820309370156,75
"9",9,1.08265896969425,75
"10",10,0.79391520496645,73
"11",11,0.388990550089717,80
"12",12,0.360867139412287,73
"13",13,0.116854801935591,73
"14",14,0.620110640850079,65
"15",15,0.125728853101935,79
"16",16,0.164988873619121,81
"17",17,0.0211509412306079,79
"18",18,0.350919529579302,73
"19",19,1.38753208404452,77
"20",20,1.13753013895176,74
"21",21,0.811831217171733,73
"22",22,0.331273819052291,74
"23",23,0.135296926138939,76
"24",24,1.6518065256939,80
"25",25,1.06583406961602,78
"26",26,0.194699155532495,75
"27",27,0.228073434070323,88
"28",28,1.14428520910026,76
"29",29,0.548921650722623,77
"30",30,0.679410745362506,72
"31",31,0.0105219502879247,81
"32",32,0.762384808971944,67
"33",33,1.14801788176609,65
"34",34,0.751757705985071,75
"35",35,0.171575193294163,75
"36",36,2.64839918856259,79
"37",37,1.01955545707365,74
"38",38,0.525192827123313,79
"39",39,0.441053178456529,73
"40",40,0.58670824099765,78
"41",41,1.06806219096135,81
"42",42,0.173277131151981,75
"43",43,0.0249822356565142,73
"44",44,1.19821134701298,63
"45",45,2.0554300410132,82
"46",46,0.223298961693733,71
"47",47,0.63047047202949,78
"48",48,1.04815088631051,72
"49",49,1.29711794393701,78
"50",50,0.262109612421503,74
"51",51,0.818740390776584,76
"52",52,0.0520436916211198,64
"53",53,0.649626164207704,71
"54",54,0.953350207176096,78
"55",55,0.929762201992603,74
"56",56,1.61975941488669,70
"57",57,0.182483567892452,83
"58",58,1.28174933480941,80
"59",59,0.818775047161193,71
"60",60,0.725555810152397,68
"61",61,1.82335596631661,74
"62",62,0.37565517366151,73
"63",63,1.41213156579731,80
"64",64,0.20225595193216,80
"65",65,0.638290220040471,72
"66",66,0.567333692138119,78
"67",67,1.17232485662304,79
"68",68,1.97986169196647,78
"69",69,0.431022081298918,78
"70",70,0.590447749535201,70
"71",71,0.42232869430907,70
"72",72,0.228186114136494,74
"73",73,0.115484151668171,72
"74",74,2.0844382399139,74
"75",75,1.73138063211232,78
"76",76,0.611065795205395,73
"77",77,0.358806897232912,80
"78",78,0.869288533039174,77
"79",79,1.15741220761714,74
"80",80,0.410890120256857,71
"81",81,0.110767566670756,79
"82",82,0.113565272669146,77
"83",83,0.743868767005714,79
"84",84,1.17126841476039,85
"85",85,1.24244214014094,70
"86",86,1.5508496559864,72
"87",87,0.138072634821828,68
"88",88,2.65533199996637,71
"89",89,0.817784219712184,80
"90",90,0.612946003701691,73
"91",91,0.396122098267542,74
"92",92,1.01274028745623,80
"93",93,1.24200029009728,76
"94",94,1.49156293963758,77
"95",95,0.0635977826583969,80
"96",96,1.15458998138504,75
"97",97,0.532908661307723,75
"98",98,0.616923102334111,79
"99",99,1.88902732349153,71
"100",100,0.735024573896334,69
